class,make,model
Honda Civic,Honda,Civic
Honda Accord,Honda,Accord
Toyota Camry,Toyota,Camry
Ford Mustang,Ford,Mustang
Toyota Corolla,Toyota,Corolla
Chevrolet Silverado,Chevrolet,Silverado
Ford F150,Ford,F150
Nissan Altima,Nissan,Altima
Ford Focus,Ford,Focus
Ford Ranger,Ford,Ranger
Jeep Grand Cherokee,Jeep,Grand Cherokee
Toyota Landcruiser,Toyota,Landcruiser
Holden Commodore,Holden,Commodore
Volkswagen Jetta,Volkswagen,Jetta
Mazda 3,Mazda,3
Honda Odyssey,Honda,Odyssey
Nissan Maxima,Nissan,Maxima
Chevrolet Corvette,Chevrolet,Corvette
Toyota Hilux,Toyota,Hilux
Volkswagen Golf,Volkswagen,Golf
Volkswagen Passat,Volkswagen,Passat
Honda CR-V,Honda,CR-V
Ford F250,Ford,F250
Subaru Forester,Subaru,Forester
Subaru Impreza,Subaru,Impreza
Hyundai Elantra,Hyundai,Elantra
Audi A4,Audi,A4
Nissan Navara,Nissan,Navara
Mitsubishi Lancer,Mitsubishi,Lancer
Ford Escape,Ford,Escape
Toyota RAV4,Toyota,RAV4
Chevrolet Camaro,Chevrolet,Camaro
Ford Falcon,Ford,Falcon
Mazda 6,Mazda,6
Hyundai Sonata,Hyundai,Sonata
Jeep Wrangler,Jeep,Wrangler
Subaru Outback,Subaru,Outback
Nissan Pathfinder,Nissan,Pathfinder
Mitsubishi Triton,Mitsubishi,Triton
BMW X5,BMW,X5
Hyundai Accent,Hyundai,Accent
Holden Cruze,Holden,Cruze
Holden Captiva,Holden,Captiva
Nissan X-Trail,Nissan,X-Trail
Hyundai i30,Hyundai,i30
Kia Rio,Kia,Rio
Mitsubishi Outlander,Mitsubishi,Outlander
Ford Territory,Ford,Territory
Land Rover Range Rover Sport,Land Rover,Range Rover Sport
Jeep Cherokee,Jeep,Cherokee
Nissan Patrol,Nissan,Patrol
BMW 325i,BMW,325i
Holden Colorado,Holden,Colorado
Toyota Prius,Toyota,Prius
Mazda CX-5,Mazda,CX-5
Chrysler 300,Chrysler,300
Toyota Yaris,Toyota,Yaris
Mazda BT-50,Mazda,BT-50
Toyota Kluger,Toyota,Kluger
Holden Astra,Holden,Astra
Nissan Murano,Nissan,Murano
Volkswagen Beetle,Volkswagen,Beetle
Mazda 2,Mazda,2
Suzuki Swift,Suzuki,Swift
Mitsubishi Pajero,Mitsubishi,Pajero
Holden Ute,Holden,Ute
Hyundai Tucson,Hyundai,Tucson
Holden Barina,Holden,Barina
Kia Cerato,Kia,Cerato
